customer_id,first_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,Age,Age_group
24,Kim,Female,55,1977-12-03,Research Assistant I,Argiculture,Mass Customer,N,Yes,15.0,47,50
25,Geoff,Male,72,1976-12-02,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21.0,48,50
26,Trixi,Female,12,1978-06-10,Editor,Financial Services,Mass Customer,N,Yes,16.0,45,50
27,Garvin,Male,37,1978-09-25,Research Nurse,Health,Mass Customer,N,Yes,12.0,46,50
28,Fee,Male,5,1973-09-30,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21.0,51,60
29,Mona,Female,62,1968-06-22,Safety Technician III,Manufacturing,Mass Customer,N,No,19.0,55,60
30,Darrick,Male,18,1961-10-18,Desktop Support Technician,IT,Affluent Customer,N,Yes,6.0,63,70
31,Star,Female,3,1962-11-24,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14.0,62,70
32,Marion,Female,17,1995-04-20,Legal Assistant,Manufacturing,Affluent Customer,N,No,4.0,28,30
33,Ernst,Male,44,1957-06-25,Product Engineer,Property,Affluent Customer,N,Yes,11.0,66,70
35,Margaretha,Female,40,1963-09-28,Information Systems Manager,Health,High Net Worth,N,Yes,16.0,61,70
36,Lurette,Female,33,1977-11-09,VP Quality Control,IT,Affluent Customer,N,No,22.0,47,50
37,Laurie,Female,46,1985-12-22,Social Worker,Health,High Net Worth,N,No,16.0,39,40
38,Cordi,Female,37,1955-10-29,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20.0,69,70
39,Hunfredo,Male,5,1979-04-16,Assistant Media Planner,Entertainment,Mass Customer,N,No,22.0,44,50
40,Tomasine,Female,91,1981-10-27,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14.0,43,50
41,Basilius,Male,64,1976-04-14,Food Chemist,Health,Mass Customer,N,No,16.0,47,50
42,Chiquita,Female,24,1977-03-28,Accountant III,Manufacturing,Mass Customer,N,No,18.0,46,50
43,Indira,Female,38,1983-03-01,Director of Sales,Retail,Mass Customer,N,No,5.0,40,50
44,Neron,Male,63,1981-10-18,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17.0,43,50
45,Trace,Male,64,1975-09-23,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8.0,49,50
46,Kaila,Female,98,1972-02-26,Speech Pathologist,Health,Affluent Customer,N,Yes,15.0,51,60
47,Matthew,Male,51,1992-10-22,Registered Nurse,Health,Affluent Customer,N,No,2.0,32,40
48,Rebbecca,Female,46,1975-08-15,Biostatistician II,Retail,Mass Customer,N,Yes,8.0,48,50
49,Nolly,Male,63,1994-01-26,VP Quality Control,Financial Services,Affluent Customer,N,No,1.0,29,30
50,Whitby,Male,38,1980-10-01,Account Executive,Manufacturing,Mass Customer,N,Yes,16.0,44,50
51,Fidelio,Male,68,1959-12-05,Computer Systems Analyst II,Retail,Mass Customer,N,No,18.0,65,70
52,Curran,Male,57,1988-06-22,Operator,Financial Services,Mass Customer,N,Yes,13.0,35,40
53,Agnella,Female,22,1954-04-18,Software Test Engineer II,Financial Services,Mass Customer,N,No,16.0,69,70
54,Loralyn,Female,2,1966-07-24,Sales Associate,Property,Mass Customer,N,Yes,18.0,57,60
55,Linc,Male,48,1956-09-24,Paralegal,Financial Services,Affluent Customer,N,Yes,7.0,68,70
56,Reese,Male,44,1996-07-04,VP Sales,Property,Mass Customer,N,Yes,4.0,27,30
57,Abba,Male,87,1988-06-13,Chief Design Engineer,Financial Services,Mass Customer,N,Yes,13.0,35,40
58,Dalenna,Female,26,1967-07-04,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17.0,56,60
59,Niki,Male,60,2000-02-08,Physical Therapy Assistant,Retail,High Net Worth,N,No,3.0,23,30
60,Nadiya,Female,18,1970-02-04,Research Assistant III,Manufacturing,Mass Customer,N,No,10.0,53,60
61,Kacey,Female,47,1959-11-29,Help Desk Operator,Property,High Net Worth,N,No,13.0,65,70
62,Sorcha,Female,38,1979-07-06,VP Marketing,IT,Mass Customer,N,Yes,22.0,44,50
63,Ebony,Female,58,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16.0,58,60
64,Gerek,Male,73,1978-03-25,Legal Assistant,IT,High Net Worth,N,No,4.0,45,50
65,Yale,Male,21,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15.0,47,50
66,Anselm,Male,46,2002-03-11,Account Executive,Argiculture,High Net Worth,N,No,1.0,21,30
67,Vernon,Male,67,1960-06-14,Web Developer II,Retail,Mass Customer,N,No,18.0,63,70
68,Dahlia,Female,37,1974-04-21,Information Systems Manager,Manufacturing,Affluent Customer,N,No,9.0,49,50
69,Heidi,Female,16,1969-06-22,Web Developer II,Financial Services,Mass Customer,N,No,6.0,54,60
70,Foster,Male,78,1993-02-27,Paralegal,Financial Services,Affluent Customer,N,No,8.0,30,40
71,Hoyt,Male,30,1985-01-27,Research Associate,Argiculture,Affluent Customer,N,Yes,12.0,38,40
72,Sammy,Male,93,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16.0,51,60
73,Minette,Female,16,1960-05-27,Teacher,Health,Affluent Customer,N,Yes,5.0,63,70
74,Pansy,Female,94,1969-06-19,Web Designer III,Retail,Mass Customer,N,Yes,6.0,54,60
75,Dollie,Female,28,1978-07-15,VP Product Management,Property,Mass Customer,N,No,19.0,45,50
76,Rea,Female,20,1978-01-23,Statistician II,Retail,High Net Worth,N,Yes,18.0,45,50
77,Shermie,Male,79,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,N,No,7.0,35,40
78,Arch,Male,37,1985-03-12,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8.0,38,40
79,Tybi,Female,76,1968-10-02,Account Executive,Manufacturing,Mass Customer,N,No,18.0,56,60
80,Pablo,Male,11,1978-04-24,Data Coordiator,Entertainment,Mass Customer,N,No,13.0,45,50
81,Bee,Female,58,1986-09-04,Staff Scientist,Health,High Net Worth,N,No,13.0,38,40
82,Gleda,Female,93,1965-06-28,Software Test Engineer III,Property,High Net Worth,N,No,19.0,58,60
83,Kerr,Male,97,1967-02-26,Internal Auditor,IT,Mass Customer,N,Yes,18.0,56,60
84,Rich,Male,78,1958-02-07,Accountant III,Manufacturing,Mass Customer,N,Yes,14.0,65,70
85,Kane,Male,1,1958-05-21,Analyst Programmer,Property,Mass Customer,N,No,8.0,65,70
86,Job,Male,75,1989-03-04,Occupational Therapist,Health,High Net Worth,N,Yes,7.0,34,40
87,Fields,Male,78,1974-04-23,Editor,Financial Services,Mass Customer,N,No,8.0,49,50
88,Malynda,Female,41,1966-02-03,Help Desk Operator,Property,High Net Worth,N,Yes,7.0,57,60
89,Benedicto,Male,74,1967-01-22,Speech Pathologist,Health,Mass Customer,N,Yes,14.0,56,60
90,Cary,Male,76,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11.0,40,50
91,Dylan,Male,69,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17.0,68,70
92,Jodee,Female,98,1980-09-11,Recruiting Manager,Health,Mass Customer,N,No,12.0,44,50
93,Gordon,Male,63,1976-07-16,Project Manager,Retail,Mass Customer,N,Yes,10.0,47,50
94,Wallache,Male,33,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,N,No,21.0,49,50
95,Nomi,Female,67,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8.0,64,70
96,Heath,Male,33,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15.0,56,60
97,Arne,Male,16,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10.0,44,50
98,Allianora,Female,19,1956-03-17,Safety Technician IV,Health,Mass Customer,N,No,7.0,67,70
99,Reggie,Male,97,1998-06-13,VP Accounting,Financial Services,Mass Customer,N,No,3.0,25,30
100,Tripp,Male,80,1968-05-11,General Manager,Financial Services,Mass Customer,N,Yes,4.0,55,60
101,Goran,Male,83,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11.0,49,50
102,Langsdon,Male,51,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16.0,68,70
103,Ethyl,Female,49,1997-04-21,Product Engineer,Financial Services,Affluent Customer,N,Yes,4.0,26,30
104,Odille,Female,40,1978-06-06,Automation Specialist II,Health,Mass Customer,N,Yes,9.0,45,50
105,Maribeth,Female,25,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,N,No,1.0,23,30
106,Glyn,Male,54,1966-07-03,Software Test Engineer III,Health,High Net Worth,N,Yes,18.0,57,60
107,Pris,Female,97,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9.0,33,40
108,Kayle,Female,4,1994-03-14,Internal Auditor,Financial Services,High Net Worth,N,No,3.0,29,30
109,Cody,Male,16,1978-12-11,Marketing Assistant,Financial Services,Affluent Customer,N,Yes,4.0,46,50
110,Sascha,Male,23,2000-07-31,Business Systems Development Analyst,Financial Services,Affluent Customer,N,No,1.0,23,30
111,Cele,Female,65,1993-08-29,Analyst Programmer,Health,Mass Customer,N,No,2.0,31,40
112,Shena,Female,88,1975-08-12,Marketing Manager,Retail,High Net Worth,N,No,12.0,48,50
113,Gage,Male,67,1956-05-06,Staff Scientist,Health,Mass Customer,N,No,20.0,67,70
114,Sunny,Female,10,1985-10-23,Teacher,Entertainment,Affluent Customer,N,No,8.0,39,40
115,Alberik,Male,77,1981-12-21,Account Executive,Health,Mass Customer,N,No,18.0,43,50
116,Scottie,Male,49,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2.0,24,30
117,Nance,Female,75,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,N,No,15.0,41,50
118,Prentice,Male,43,1959-11-12,Budget/Accounting Analyst IV,Entertainment,High Net Worth,N,No,19.0,65,70
119,Willey,Male,9,1981-12-04,Associate Professor,Entertainment,High Net Worth,N,Yes,9.0,43,50
120,Sloan,Male,80,1978-09-02,Legal Assistant,Financial Services,High Net Worth,N,Yes,4.0,46,50
121,Myles,Male,82,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,N,No,15.0,67,70
122,Colver,Male,87,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12.0,44,50
123,Almeta,Female,85,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,N,No,15.0,36,40
124,Kath,Female,27,1995-05-03,Administrative Assistant II,Health,High Net Worth,N,Yes,5.0,28,30
125,Darrelle,Female,94,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,N,No,16.0,63,70
126,Norman,Male,53,1992-10-15,Administrative Officer,Health,Mass Customer,N,Yes,3.0,32,40
127,Merrili,Female,81,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,N,No,19.0,50,60
128,Isidro,Male,73,1977-07-17,Systems Administrator III,Property,Mass Customer,N,Yes,12.0,46,50
129,Weidar,Male,64,1985-07-20,Financial Advisor,Financial Services,High Net Worth,N,Yes,19.0,38,40
130,Raddy,Male,32,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,N,No,1.0,26,30
131,Jana,Female,57,1964-10-16,Administrative Officer,Retail,High Net Worth,N,No,8.0,60,70
132,Celesta,Female,5,1963-07-07,Web Designer I,Manufacturing,Mass Customer,N,Yes,9.0,60,70
133,Eldridge,Male,12,1977-06-13,VP Accounting,Financial Services,Mass Customer,N,Yes,16.0,46,50
134,Merna,Female,34,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5.0,26,30
135,Rosalia,Female,18,1975-01-18,Internal Auditor,IT,Mass Customer,N,No,3.0,48,50
136,Mel,Male,46,1973-05-26,Senior Developer,Manufacturing,High Net Worth,N,Yes,7.0,50,60
137,Vaughn,Male,27,1987-11-21,Office Assistant II,Property,High Net Worth,N,No,10.0,37,40
138,Onofredo,Male,5,1985-04-28,Recruiter,Financial Services,Affluent Customer,N,Yes,13.0,38,40
139,Gar,Male,1,1964-07-28,Operator,Telecommunications,Affluent Customer,N,No,4.0,59,60
140,Morrie,Male,9,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2.0,29,30
141,Townsend,Male,67,1954-06-25,Teacher,Financial Services,High Net Worth,N,Yes,10.0,69,70
142,Bentley,Male,57,1967-08-07,Quality Engineer,Health,Affluent Customer,N,No,17.0,56,60
143,Kendall,Male,19,1957-09-01,Operator,Argiculture,Mass Customer,N,Yes,11.0,67,70
144,Jory,Unidentified,71,1976-10-28,Environmental Tech,IT,Mass Customer,N,No,16.0,48,50
145,Filippo,Male,33,1997-07-21,Account Executive,Financial Services,Mass Customer,N,No,4.0,26,30
146,Ricoriki,Male,34,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8.0,38,40
147,Rea,Female,32,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10.0,51,60
148,Jaquith,Female,69,1981-05-08,Programmer Analyst III,Manufacturing,Mass Customer,N,Yes,5.0,42,50
149,Drucy,Female,41,1995-01-31,Research Nurse,Health,Mass Customer,N,Yes,1.0,28,30
150,Bradly,Male,6,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,N,No,17.0,40,50
151,Donnie,Male,36,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13.0,58,60
152,Stephana,Female,5,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,N,No,16.0,42,50
153,Lorilyn,Female,73,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12.0,46,50
154,Faydra,Female,90,1958-02-13,Junior Executive,Manufacturing,Mass Customer,N,No,11.0,65,70
155,Orran,Male,4,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,N,No,10.0,39,40
156,Shayla,Female,23,1979-09-09,Cost Accountant,Financial Services,Mass Customer,N,Yes,11.0,45,50
157,Chad,Male,97,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,N,No,16.0,50,60
158,Hamlin,Male,99,1984-09-03,Internal Auditor,Financial Services,Affluent Customer,N,No,5.0,40,50
159,Arin,Male,90,1987-05-12,Research Nurse,Health,Affluent Customer,N,No,13.0,36,40
160,Wake,Male,5,1964-07-15,Registered Nurse,Health,Mass Customer,N,No,18.0,59,60
161,Tadd,Male,49,1976-01-21,Software Consultant,Financial Services,Mass Customer,N,No,16.0,47,50
162,Port,Male,90,1979-08-12,Nurse Practicioner,IT,Mass Customer,N,No,15.0,44,50
163,Kessia,Female,58,1976-09-06,Librarian,Entertainment,High Net Worth,N,Yes,14.0,48,50
164,Aarika,Female,55,1999-08-07,Senior Editor,Retail,Affluent Customer,N,Yes,1.0,24,30
165,Aldon,Male,61,1984-03-25,Administrative Officer,Argiculture,Mass Customer,N,Yes,12.0,39,40
166,Elston,Male,54,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6.0,68,70
167,Nathalie,Female,95,1969-10-27,Director of Sales,Health,High Net Worth,N,Yes,17.0,55,60
168,Reggie,Unidentified,8,1999-12-17,General Manager,IT,Affluent Customer,N,Yes,1.0,25,30
169,Alfy,Male,20,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5.0,67,70
170,Jammal,Male,80,1975-06-02,Pharmacist,Health,High Net Worth,N,No,21.0,48,50
171,Halli,Female,62,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,N,No,10.0,54,60
172,Hilton,Male,54,1988-09-12,Editor,Manufacturing,Affluent Customer,N,Yes,6.0,36,40
173,Ebba,Female,99,1997-01-02,General Manager,Health,Affluent Customer,N,No,1.0,26,30
174,Catie,Female,93,1989-11-26,Food Chemist,Health,Mass Customer,N,No,12.0,35,40
175,Templeton,Male,36,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,N,No,5.0,49,50
176,Angelo,Male,39,1992-04-13,Accountant I,Property,Mass Customer,N,No,10.0,31,40
177,Ondrea,Female,25,1989-11-09,Professor,Financial Services,High Net Worth,N,No,4.0,35,40
178,Matthieu,Male,2,1967-04-03,Statistician IV,Financial Services,Affluent Customer,N,No,8.0,56,60
179,Esteban,Male,23,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6.0,57,60
180,Trisha,Female,16,1971-09-17,Web Designer III,Argiculture,Affluent Customer,N,No,14.0,53,60
181,Pavla,Female,49,1982-11-21,Senior Editor,Manufacturing,Mass Customer,N,No,9.0,42,50
182,Lydon,Male,99,1992-11-20,Sales Associate,Financial Services,Affluent Customer,N,Yes,7.0,32,40
183,Dannie,Female,7,1997-08-05,Geologist III,Retail,Affluent Customer,N,No,3.0,26,30
184,Nappie,Male,40,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7.0,53,60
185,Crosby,Male,80,1979-12-13,Research Nurse,Property,Mass Customer,N,Yes,13.0,45,50
186,Mireielle,Female,46,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,N,No,3.0,49,50
187,Pincas,Male,97,1954-01-28,Structural Engineer,Financial Services,Mass Customer,N,No,11.0,69,70
188,Audry,Female,54,1975-06-22,Safety Technician II,Property,High Net Worth,N,Yes,13.0,48,50
189,Umberto,Male,73,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,N,No,10.0,42,50
190,Hayley,Female,42,1979-02-04,Registered Nurse,Health,Affluent Customer,N,No,10.0,44,50
191,Christopher,Male,22,1960-04-27,Help Desk Operator,Health,Affluent Customer,N,Yes,6.0,63,70
192,Goldi,Female,2,1978-11-19,Junior Executive,Health,Mass Customer,N,Yes,8.0,46,50
193,Foss,Male,13,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12.0,59,60
194,Ursala,Female,4,1974-11-16,Web Developer III,Financial Services,Affluent Customer,N,No,10.0,50,60
195,Talyah,Female,34,1958-11-14,Project Manager,Manufacturing,Mass Customer,N,No,6.0,66,70
196,Swen,Male,90,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6.0,57,60
197,Avis,Female,32,1977-01-27,Community Outreach Specialist,Financial Services,High Net Worth,N,No,5.0,46,50
198,Vanya,Female,82,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,N,No,16.0,43,50
199,Verla,Female,61,1978-02-13,Junior Executive,Health,Mass Customer,N,Yes,21.0,45,50
200,Hube,Male,7,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19.0,66,70
201,Salem,Male,45,1966-04-20,Design Engineer,Manufacturing,Mass Customer,N,Yes,11.0,57,60
202,Audie,Female,38,1963-06-24,Librarian,Entertainment,Affluent Customer,N,Yes,16.0,60,70
203,Donovan,Male,71,1964-01-13,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11.0,59,60
204,Thorny,Male,56,1976-10-01,Editor,Financial Services,Mass Customer,N,No,5.0,48,50
205,Rolfe,Male,18,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6.0,66,70
206,Mari,Female,98,1954-07-19,Statistician I,Property,Mass Customer,N,Yes,14.0,69,70
207,Adena,Female,9,1994-08-10,Administrative Assistant II,Financial Services,Mass Customer,N,No,7.0,29,30
208,Rutter,Male,57,1994-10-31,Office Assistant III,Property,High Net Worth,N,No,5.0,30,40
209,Udall,Male,9,1957-08-28,Analog Circuit Design manager,Property,Affluent Customer,N,Yes,6.0,66,70
210,Albrecht,Male,50,1963-11-18,Assistant Manager,Property,Mass Customer,N,No,18.0,61,70
211,Beitris,Female,6,1974-03-04,VP Marketing,Manufacturing,Mass Customer,N,Yes,5.0,49,50
212,Nanice,Female,21,2001-11-19,Desktop Support Technician,IT,Affluent Customer,N,No,1.0,23,30
213,Lockwood,Male,13,1996-05-14,Actuary,Financial Services,High Net Worth,N,Yes,6.0,27,30
214,Jeramie,Male,82,1957-11-29,Food Chemist,Health,Mass Customer,N,No,6.0,67,70
215,Debera,Female,37,1974-06-24,Assistant Professor,Retail,High Net Worth,N,Yes,18.0,49,50
216,Cinderella,Female,12,1995-01-12,Quality Engineer,Financial Services,High Net Worth,N,Yes,7.0,28,30
217,Jeralee,Female,63,1979-12-09,Geological Engineer,Manufacturing,High Net Worth,N,No,16.0,45,50
218,Stefa,Female,37,1993-08-06,Administrative Officer,Property,High Net Worth,N,Yes,8.0,30,40
219,Markus,Male,9,1964-11-25,Database Administrator III,Health,Mass Customer,N,No,7.0,60,70
220,Jeniffer,Female,79,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,N,No,9.0,69,70
221,Mara,Female,14,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,N,No,14.0,43,50
222,Nev,Male,89,1978-09-03,Clinical Specialist,Health,Mass Customer,N,No,16.0,46,50
223,Ossie,Male,13,1983-11-26,VP Sales,Manufacturing,Affluent Customer,N,Yes,14.0,41,50
224,Morgun,Male,2,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,N,No,17.0,57,60
225,Brittaney,Female,84,1977-03-11,Pharmacist,Health,Affluent Customer,N,No,13.0,46,50
226,Bondie,Male,96,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,N,No,20.0,47,50
227,Wendall,Male,99,1973-08-14,Accountant I,Entertainment,Mass Customer,N,No,18.0,50,60
228,Lucia,Female,59,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,N,No,12.0,37,40
229,Vaughn,Male,30,1966-03-06,Account Representative I,Property,High Net Worth,N,No,19.0,57,60
230,Maegan,Female,74,1954-06-24,Internal Auditor,Property,High Net Worth,N,No,11.0,69,70
231,Basile,Male,48,1995-08-05,Design Engineer,Financial Services,Mass Customer,N,Yes,3.0,28,30
232,Zaria,Female,94,1987-11-11,Professor,Retail,Mass Customer,N,No,12.0,37,40
233,Art,Male,34,1986-08-08,Environmental Tech,Property,Mass Customer,N,No,13.0,37,40
234,Mead,Female,71,1969-08-12,Chief Design Engineer,Retail,High Net Worth,N,No,12.0,54,60
235,Leona,Female,30,1976-12-26,Social Worker,Health,Mass Customer,N,No,15.0,48,50
236,Tybalt,Male,79,1954-10-30,Research Nurse,Health,Affluent Customer,N,No,14.0,70,80
237,Reginald,Male,18,1974-03-07,Account Coordinator,Property,High Net Worth,N,Yes,11.0,49,50
238,Max,Male,54,1984-02-04,Programmer III,Manufacturing,Mass Customer,N,Yes,14.0,39,40
239,Wells,Male,62,1992-12-13,Registered Nurse,Health,Affluent Customer,N,No,3.0,32,40
240,Gavin,Male,49,1989-07-28,Administrative Assistant III,IT,High Net Worth,N,Yes,15.0,34,40
241,Quillan,Male,94,1987-05-09,Quality Engineer,Entertainment,Mass Customer,N,No,20.0,36,40
242,Taite,Male,17,1992-03-20,Nurse,Property,Affluent Customer,N,No,8.0,31,40
243,Barbara,Female,94,1976-09-02,Teacher,Manufacturing,High Net Worth,N,Yes,14.0,48,50
244,Germayne,Male,57,1974-11-25,Senior Cost Accountant,Retail,Affluent Customer,N,No,8.0,50,60
245,Noell,Female,6,2001-09-26,Associate Professor,Financial Services,Affluent Customer,N,No,1.0,23,30
246,Binny,Female,63,1991-02-28,Technical Writer,Manufacturing,High Net Worth,N,No,9.0,32,40
247,Kristal,Female,62,1983-05-06,Staff Accountant II,Financial Services,High Net Worth,N,Yes,13.0,40,50
248,Inger,Female,76,1978-04-15,Clinical Specialist,Health,Affluent Customer,N,Yes,12.0,45,50
249,D'arcy,Male,65,1992-09-13,Quality Control Specialist,IT,High Net Worth,N,No,9.0,32,40
250,Kristofer,Male,53,1988-04-15,Legal Assistant,Health,Mass Customer,N,Yes,13.0,35,40
251,Mala,Female,88,1977-12-24,VP Sales,Financial Services,Affluent Customer,N,Yes,10.0,47,50
252,Anthea,Female,39,1983-01-24,Account Coordinator,Property,Mass Customer,N,Yes,13.0,40,50
253,Amalee,Female,82,1997-05-11,Food Chemist,Health,Mass Customer,N,Yes,1.0,26,30
254,Barbie,Female,98,1961-09-22,Information Systems Manager,Retail,Mass Customer,N,No,14.0,63,70
255,Keeley,Female,2,1954-01-15,Desktop Support Technician,IT,Mass Customer,N,No,5.0,69,70
256,Linell,Female,16,1975-05-07,Director of Sales,Health,High Net Worth,N,Yes,21.0,48,50
257,Marissa,Female,70,1966-02-08,Sales Associate,Manufacturing,Affluent Customer,N,Yes,19.0,57,60
258,Othella,Female,24,1992-05-03,Administrative Officer,Manufacturing,High Net Worth,N,No,9.0,31,40
259,Venita,Female,70,1983-07-22,Senior Developer,Health,High Net Worth,N,Yes,3.0,40,50
260,Farand,Female,47,1979-08-30,Senior Quality Engineer,Health,High Net Worth,N,Yes,22.0,45,50
261,Marve,Male,74,1977-10-15,Structural Engineer,Financial Services,Mass Customer,N,No,8.0,47,50
262,Cordie,Male,97,1977-12-23,Senior Sales Associate,Health,High Net Worth,N,Yes,10.0,47,50
263,Tonia,Female,89,1985-11-19,Dental Hygienist,Health,High Net Worth,N,No,7.0,39,40
264,Jedd,Male,31,1977-12-07,Technical Writer,Health,Mass Customer,N,No,11.0,47,50
265,Pennie,Male,74,1965-10-05,Sales Representative,Retail,High Net Worth,N,Yes,18.0,59,60
266,Lelia,Female,69,1989-07-19,Account Executive,Retail,Affluent Customer,N,No,18.0,34,40
267,Edgar,Unidentified,53,1993-06-23,Financial Analyst,IT,High Net Worth,N,No,2.0,30,40
